Pcode,Locality,State,Country
872,MACDONNELL RANGE,NT,AU
872,MEREENIE,NT,AU
872,MIMILI,SA,AU
872,MOUNT LIEBIG,NT,AU
872,MOUNT ZEIL,NT,AU
872,MUTITJULU,NT,AU
872,NAMATJIRA,NT,AU
872,NAPPERBY STATION,NT,AU
872,NGAANYATJARRA-GILES,WA,AU
872,NYAPARI,SA,AU
872,NYIRRIPI,NT,AU
872,PAPUNYA,NT,AU
872,PATJARR,WA,AU
872,PETERMANN,NT,AU
872,SANDOVER,NT,AU
872,SANTA TERESA,NT,AU
872,SIMPSON,NT,AU
872,TANAMI,NT,AU
872,TARA,NT,AU
872,TELEGRAPH STATION,NT,AU
872,TI TREE,NT,AU
872,TITJIKALA,NT,AU
872,TJIRRKARLI,WA,AU
872,TJUKURLA,WA,AU
872,WALLACE ROCKHOLE,NT,AU
872,WANNAN,WA,AU
872,WILLOWRA,NT,AU
872,WILORA,NT,AU
872,WINGELLINA,WA,AU
872,WUTUNUGURRA,NT,AU
872,YUELAMU,NT,AU
872,YUENDUMU,NT,AU
872,YULARA,NT,AU
873,HEAVITREE GAP CPA,NT,AU
880,GAPUWIYAK,NT,AU
880,GUNYANGARA,NT,AU
880,NHULUNBUY,NT,AU
880,YIRRKALA,NT,AU
881,NHULUNBUY,NT,AU
885,ALYANGULA,NT,AU
886,JABIRU,NT,AU
906,WINNELLIE,NT,AU
907,WINNELLIE,NT,AU
909,CHARLES DARWIN UNIVERSITY,NT,AU
1001,SYDNEY,NSW,AU
1002,SYDNEY,NSW,AU
1003,SYDNEY,NSW,AU
1004,SYDNEY,NSW,AU
1005,SYDNEY,NSW,AU
1006,SYDNEY,NSW,AU
1007,SYDNEY,NSW,AU
1008,SYDNEY,NSW,AU
1009,SYDNEY,NSW,AU
1010,SYDNEY,NSW,AU
1011,SYDNEY,NSW,AU
1020,SYDNEY,NSW,AU
1021,SYDNEY,NSW,AU
1022,SYDNEY,NSW,AU
1023,SYDNEY,NSW,AU
1025,SYDNEY,NSW,AU
1026,SYDNEY,NSW,AU
1027,SYDNEY,NSW,AU
1028,SYDNEY,NSW,AU
1029,SYDNEY,NSW,AU
1030,SYDNEY,NSW,AU
1031,SYDNEY,NSW,AU
1032,SYDNEY,NSW,AU
1033,SYDNEY,NSW,AU
1034,SYDNEY,NSW,AU
1035,SYDNEY,NSW,AU
1036,SYDNEY,NSW,AU
1037,SYDNEY,NSW,AU
1038,SYDNEY,NSW,AU
1039,SYDNEY,NSW,AU
1040,SYDNEY,NSW,AU
1041,SYDNEY,NSW,AU
1042,SYDNEY,NSW,AU
1043,SYDNEY,NSW,AU
1044,SYDNEY,NSW,AU
1045,SYDNEY,NSW,AU
1046,SYDNEY,NSW,AU
1100,SYDNEY,NSW,AU
1101,SYDNEY,NSW,AU
1105,SYDNEY,NSW,AU
1106,SYDNEY,NSW,AU
1107,SYDNEY,NSW,AU
1108,SYDNEY,NSW,AU
1109,SYDNEY,NSW,AU
1110,SYDNEY,NSW,AU
1112,SYDNEY,NSW,AU
1113,SYDNEY,NSW,AU
1114,SYDNEY,NSW,AU
1115,SYDNEY,NSW,AU
1116,SYDNEY,NSW,AU
1117,SYDNEY,NSW,AU
1118,SYDNEY,NSW,AU
1119,SYDNEY,NSW,AU
1120,SYDNEY,NSW,AU
1121,SYDNEY,NSW,AU
1122,SYDNEY,NSW,AU
1123,SYDNEY,NSW,AU
1124,SYDNEY,NSW,AU
1125,SYDNEY,NSW,AU
1126,SYDNEY,NSW,AU
1127,SYDNEY,NSW,AU
1128,SYDNEY,NSW,AU
1129,SYDNEY,NSW,AU
